Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N2C1W2_CL1_1_3_E.BPPFI, CL1_1_3,100,1,0,29,30,30,30,0,423,1,324,324,0.007,0.009,0.138,0.108,0.403
N2C1W2_CL1_1_5_A.BPPFI, CL1_1_5,100,1,0,21,21,21,21,0,0,0,0,0,0.005,0.01,0,0,0.016
N2C1W2_CL1_1_5_B.BPPFI, CL1_1_5,100,0,0.05,19,19,20,20,0,10776314,61194,8760901,8760901,0.005,0.009,2025.838,1419.396,3600.024
N2C1W2_CL1_1_5_C.BPPFI, CL1_1_5,100,1,0,20,20,20,20,0,0,0,0,0,0.005,0.009,0,0,0.016
N2C1W2_CL1_1_5_D.BPPFI, CL1_1_5,100,1,0,22,22,22,22,0,0,0,0,0,0.005,0.011,0,0,0.017
N2C1W2_CL1_1_5_E.BPPFI, CL1_1_5,100,1,0,21,22,22,22,0,499,1,400,400,0.006,0.012,0.194,0.198,0.515
N2C1W2_CL2_1_5_A.BPPFI, CL2_1_5,100,1,0,26,26,26,26,0,0,0,0,0,0.004,0.008,0,0,0.013
N2C1W2_CL2_1_5_B.BPPFI, CL2_1_5,100,1,0,25,26,26,26,0,421,1,322,322,0.006,0.009,0.129,0.096,0.342
N2C1W2_CL2_1_5_C.BPPFI, CL2_1_5,100,1,0,26,26,27,26,0,421216,5846,310217,310217,0.005,0.007,32.898,22.991,61.061
N2C1W2_CL2_1_5_D.BPPFI, CL2_1_5,100,0,0.066666667,28,28,30,30,0,69408739,6685748,45677946,45677946,0.006,0.006,1800.514,813.936,3600
N2C1W2_CL2_1_5_E.BPPFI, CL2_1_5,100,0,0.037037037,26,26,27,27,0,16003196,83592,11864356,11864356,0.005,0.008,2001.586,1406.504,3600.013
N2C1W2_CL2_3_3_A.BPPFI, CL2_3_3,100,1,0,26,26,26,26,0,0,0,0,0,0.004,0.008,0,0,0.012
N2C1W2_CL2_3_3_B.BPPFI, CL2_3_3,100,1,0,25,26,26,26,0,393,1,294,294,0.005,0.007,0.118,0.087,0.32
N2C1W2_CL2_3_3_C.BPPFI, CL2_3_3,100,1,0,26,26,27,26,0,16757,188,11272,11272,0.006,0.006,1.976,1.858,4.286
N2C1W2_CL2_3_3_D.BPPFI, CL2_3_3,100,0,0.035714286,27,27,28,28,0,19918354,124297,14307452,14307452,0.005,0.008,1958.506,1411.753,3600.002
N2C1W2_CL2_3_3_E.BPPFI, CL2_3_3,100,0,0.037037037,26,26,27,27,0,21723309,157803,15658908,15658908,0.005,0.008,1972.488,1375.801,3600.015
