Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N3C1W2_CL2_3_3_B.BPPFI, CL2_3_3,200,0,0.019607843,50,50,51,51,0,6063574,10754,4827661,4827661,0.006,150.001,2187.62,1179.269,3600.165
N3C1W2_CL2_3_3_C.BPPFI, CL2_3_3,200,0,0.019230769,51,51,52,52,0,5068357,7724,3977497,3977497,0.007,150.001,2156.025,1217.115,3600.249
N3C1W2_CL2_3_3_D.BPPFI, CL2_3_3,200,0,0.037037037,52,52,54,54,0,6429669,10711,5024216,5024216,0.004,150.001,2087.189,1273.162,3600.17
N3C1W2_CL2_3_3_E.BPPFI, CL2_3_3,200,0,0.037735849,51,51,53,53,0,10962588,32946,8452217,8452217,0.004,150.001,2001.416,1312.392,3600.102
N3C1W2_CL2_3_4_A.BPPFI, CL2_3_4,200,0,0.022222222,44,44,45,45,0,4313139,7438,3511030,3511030,0.006,150.001,2174.311,1198.396,3600.631
N3C1W2_CL2_3_4_B.BPPFI, CL2_3_4,200,0,0.022222222,44,44,45,45,0,7330263,20103,6033633,6033633,0.006,150.001,2090.555,1243.92,3600.009
N3C1W2_CL2_3_4_C.BPPFI, CL2_3_4,200,0,0.022727273,43,43,44,44,0,3969806,6559,3253746,3253746,0.006,150.001,2188.587,1182.972,3600.416
N3C1W2_CL2_3_4_E.BPPFI, CL2_3_4,200,0,0.02173913,45,45,46,46,0,4786833,8237,3907201,3907201,0.006,150.001,2146.889,1215.387,3600.155
N3C1W4_CL1_1_3_A.BPPFI, CL1_1_3,200,0,0.058823529,64,64,68,68,0,14638580,74308,11308094,11308094,0.005,150.001,2012.571,1254.908,3600.034
N3C1W4_CL1_1_3_B.BPPFI, CL1_1_3,200,0,0.046153846,62,62,65,65,0,6993844,14308,5466678,5466678,0.006,150.001,2124.161,1220.071,3600.062
N3C1W4_CL1_1_3_C.BPPFI, CL1_1_3,200,0,0.046153846,62,62,65,65,0,11427139,47425,8931081,8931081,0.006,150.001,2072.409,1226.119,3600.063
N3C1W4_CL1_1_3_D.BPPFI, CL1_1_3,200,0,0.057142857,66,66,70,70,0,19090795,256332,14097370,14097370,0.007,150.001,1975.777,1242.386,3600.015
N3C1W4_CL1_1_3_E.BPPFI, CL1_1_3,200,0,0.03030303,64,64,66,66,0,5949695,11279,4619001,4619001,0,150,2105.354,1246.81,3600.381
N3C1W4_CL1_1_5_A.BPPFI, CL1_1_5,200,0,0.022222222,44,44,45,45,0,3302764,5196,2738752,2738752,0.006,150.001,2162.161,1209.723,3600.56
N3C1W4_CL1_1_5_B.BPPFI, CL1_1_5,200,0,0.022727273,43,43,44,44,0,4524807,7895,3776096,3776096,0.007,150.001,2107.413,1250.88,3600.31
N3C1W4_CL1_1_5_C.BPPFI, CL1_1_5,200,0,0.022727273,43,43,44,44,0,4440638,8345,3714018,3714018,0.006,150.001,2108.169,1250.54,3600.04
N3C1W4_CL1_1_5_D.BPPFI, CL1_1_5,200,0,0.022727273,43,43,44,44,0,3309588,6292,2696469,2696469,0.005,150.001,2134.667,1238.285,3600.789
N3C1W4_CL1_1_5_E.BPPFI, CL1_1_5,200,0,0.023809524,41,41,42,42,0,2859247,3890,2354173,2354173,0.006,150.001,2179.907,1198.072,3600.312
N3C1W4_CL2_1_5_A.BPPFI, CL2_1_5,200,0,0.035714286,54,54,56,56,0,7734749,15538,5772037,5772037,0.006,150.001,1955.065,1380.61,3600.187
N3C1W4_CL2_1_5_B.BPPFI, CL2_1_5,200,0,0.018518519,53,53,54,54,0,6551230,12612,5071572,5071572,0.005,150.001,2097.897,1254.372,3600.275
