Name,Class,N, #Node, #Node-P,#Col, #PriceCnt, LB0,LB, UB0,UB,Opt,Time
N1C1W2_CL2_3_3_A,CL2_3_3,50,1,0,282,28,12,12,12,12,1,0.02
N1C1W2_CL2_3_3_B,CL2_3_3,50,1,0,344,35,13,13,13,13,1,0.03
N1C1W2_CL2_3_3_C,CL2_3_3,50,1,0,340,35,14,14,14,14,1,0.03
N1C1W2_CL2_3_3_D,CL2_3_3,50,1,0,333,33,13,13,13,13,1,0.03
N1C1W2_CL2_3_3_E,CL2_3_3,50,1,0,361,36,14,14,14,14,1,0.03
N1C1W2_CL2_3_4_A,CL2_3_4,50,1,0,361,36,11,11,11,11,1,0.03
N1C1W2_CL2_3_4_B,CL2_3_4,50,1,0,331,33,11,11,11,11,1,0.03
N1C1W2_CL2_3_4_C,CL2_3_4,50,1,0,302,30,12,12,12,12,1,0.03
N1C1W2_CL2_3_4_D,CL2_3_4,50,5,49,502,219,11,11,12,11,1,0.59
N1C1W2_CL2_3_4_E,CL2_3_4,50,1,0,302,30,12,12,12,12,1,0.03
N1C1W4_CL1_1_3_A,CL1_1_3,50,1,0,236,23,16,16,16,16,1,0.03
N1C1W4_CL1_1_3_B,CL1_1_3,50,1,0,248,24,17,18,18,18,1,0.02
N1C1W4_CL1_1_3_C,CL1_1_3,50,1,0,246,24,16,16,16,16,1,0.03
N1C1W4_CL1_1_3_D,CL1_1_3,50,1,0,248,24,17,17,18,17,1,0.03
N1C1W4_CL1_1_3_E,CL1_1_3,50,1,0,217,21,17,17,17,17,1,0.03
N1C1W4_CL1_1_5_A,CL1_1_5,50,1,0,361,36,11,11,11,11,1,0.05
N1C1W4_CL1_1_5_B,CL1_1_5,50,1,0,312,31,12,12,12,12,1,0.03
N1C1W4_CL1_1_5_C,CL1_1_5,50,1,0,411,41,11,11,11,11,1,0.05
N1C1W4_CL1_1_5_D,CL1_1_5,50,1,0,402,40,12,12,12,12,1,0.03
N1C1W4_CL1_1_5_E,CL1_1_5,50,1,0,555,62,11,12,12,12,1,0.22
N1C1W4_CL2_1_5_A,CL2_1_5,50,1,0,352,38,13,14,14,14,1,0.03
N1C1W4_CL2_1_5_B,CL2_1_5,50,1,0,224,22,14,14,14,14,1,0.02
N1C1W4_CL2_1_5_C,CL2_1_5,50,1,0,304,30,13,13,14,13,1,0.03
N1C1W4_CL2_1_5_D,CL2_1_5,50,1,0,275,27,14,14,15,14,1,0.03
N1C1W4_CL2_1_5_E,CL2_1_5,50,1,0,264,26,14,14,14,14,1,0.03
N1C1W4_CL2_3_3_A,CL2_3_3,50,1,0,273,27,13,13,13,13,1,0.03
N1C1W4_CL2_3_3_B,CL2_3_3,50,1,0,214,21,14,14,14,14,1,0.03
N1C1W4_CL2_3_3_C,CL2_3_3,50,1,0,223,22,13,13,13,13,1,0.03
N1C1W4_CL2_3_3_D,CL2_3_3,50,1,0,293,29,14,15,15,15,1,0.03
N1C1W4_CL2_3_3_E,CL2_3_3,50,1,8,316,50,14,14,15,14,1,0.06
N1C1W4_CL2_3_4_A,CL2_3_4,50,1,0,332,33,12,12,12,12,1,0.03
N1C1W4_CL2_3_4_B,CL2_3_4,50,57,25,1077,295,12,12,13,13,1,1.83
N1C1W4_CL2_3_4_C,CL2_3_4,50,1,0,352,35,12,12,12,12,1,0.04
N1C1W4_CL2_3_4_D,CL2_3_4,50,1,0,332,33,12,13,13,13,1,0.03
N1C1W4_CL2_3_4_E,CL2_3_4,50,1,0,353,35,12,13,13,13,1,0.03
N1C2W1_CL1_1_3_A,CL1_1_3,50,1,0,361,36,11,11,11,11,1,0.03
N1C2W1_CL1_1_3_B,CL1_1_3,50,1,0,383,38,12,13,13,13,1,0.04
N1C2W1_CL1_1_3_C,CL1_1_3,50,1,0,322,32,12,12,12,12,1,0.03
N1C2W1_CL1_1_3_D,CL1_1_3,50,524,36,6051,2041,11,11,12,12,1,16.03
N1C2W1_CL1_1_3_E,CL1_1_3,50,1,0,554,58,9,10,10,10,1,0.06
N1C2W1_CL1_1_5_A,CL1_1_5,50,1,0,398,40,7,7,8,7,1,0.05
N1C2W1_CL1_1_5_B,CL1_1_5,50,1,0,517,53,9,9,9,9,1,0.05
N1C2W1_CL1_1_5_C,CL1_1_5,50,1,0,428,43,8,8,8,8,1,0.05
N1C2W1_CL1_1_5_D,CL1_1_5,50,1,0,558,56,8,8,8,8,1,0.06
N1C2W1_CL1_1_5_E,CL1_1_5,50,1,0,713,73,7,7,7,7,1,0.09
N1C2W1_CL2_1_5_A,CL2_1_5,50,1,0,400,40,10,10,10,10,1,0.05
N1C2W1_CL2_1_5_B,CL2_1_5,50,1,0,271,27,11,11,11,11,1,0.03
N1C2W1_CL2_1_5_C,CL2_1_5,50,1,0,371,37,11,11,11,11,1,0.03
N1C2W1_CL2_1_5_D,CL2_1_5,50,6,23,773,158,10,10,11,10,1,0.88
N1C2W1_CL2_1_5_E,CL2_1_5,50,1,0,429,43,9,9,9,9,1,0.03
N1C2W1_CL2_3_3_A,CL2_3_3,50,1,0,280,28,10,10,10,10,1,0.03
N1C2W1_CL2_3_3_B,CL2_3_3,50,1,0,231,23,11,11,11,11,1,0.03
N1C2W1_CL2_3_3_C,CL2_3_3,50,1,0,331,33,11,11,11,11,1,0.03
N1C2W1_CL2_3_3_D,CL2_3_3,50,1,0,381,38,11,11,11,11,1,0.03
